"","id_A","id_B","protein_A","protein_B","protein_fullname_A","protein_fullname_B","complexID","uniprot_A","uniprot_B","testB","testA"
"564",15862,15860,"co5a2_human","coba1_human","Collagen alpha-2(V) chain","Collagen alpha-1(XI) chain","CPX-1751","P05997","P12107","coba1_human","co5a2_human"
"565",15862,15860,"co5a2_human","coba1_human","Collagen alpha-2(V) chain","Collagen alpha-1(XI) chain","CPX-1751","P05997","P12107","coba1_human","co5a2_human"
"566",15862,15860,"co5a2_human","coba1_human","Collagen alpha-2(V) chain","Collagen alpha-1(XI) chain","CPX-1751","P05997","P12107","coba1_human","co5a2_human"
"567",15862,15860,"co5a2_human","coba1_human","Collagen alpha-2(V) chain","Collagen alpha-1(XI) chain","CPX-1751","P05997","P12107","coba1_human","co5a2_human"
"568",15862,15860,"co5a2_human","coba1_human","Collagen alpha-2(V) chain","Collagen alpha-1(XI) chain","CPX-1751","P05997","P12107","coba1_human","co5a2_human"
"569",15862,15860,"co5a2_human","coba1_human","Collagen alpha-2(V) chain","Collagen alpha-1(XI) chain","CPX-1751","P05997","P12107","coba1_human","co5a2_human"
"570",15862,15860,"co5a2_human","coba1_human","Collagen alpha-2(V) chain","Collagen alpha-1(XI) chain","CPX-1751","P05997","P12107","coba1_human","co5a2_human"
"571",15862,15860,"co5a2_human","coba1_human","Collagen alpha-2(V) chain","Collagen alpha-1(XI) chain","CPX-1751","P05997","P12107","coba1_human","co5a2_human"
"572",15862,15860,"co5a2_human","coba1_human","Collagen alpha-2(V) chain","Collagen alpha-1(XI) chain","CPX-1751","P05997","P12107","coba1_human","co5a2_human"
"573",13183,13179,"cnd3_human","cnd2_human","Condensin complex subunit 3","Condensin complex subunit 2","CPX-979","Q9BPX3","Q15003","cnd2_human","cnd3_human"
"574",13186,13181,"cnd1_human","cnd2_human","Condensin complex subunit 1","Condensin complex subunit 2","CPX-979","Q15021","Q15003","cnd2_human","cnd1_human"
"575",13187,13184,"cnd1_human","cnd3_human","Condensin complex subunit 1","Condensin complex subunit 3","CPX-979","Q15021","Q9BPX3","cnd3_human","cnd1_human"
"576",13190,13180,"smc4_human","cnd2_human","Structural maintenance of chromosomes protein 4","Condensin complex subunit 2","CPX-979","Q9NTJ3","Q15003","cnd2_human","smc4_human"
"577",13192,13189,"smc2_human","smc4_human","Structural maintenance of chromosomes protein 2","Structural maintenance of chromosomes protein 4","CPX-979","O95347","Q9NTJ3","smc4_human","smc2_human"
"578",13193,13178,"smc2_human","cnd2_human","Structural maintenance of chromosomes protein 2","Condensin complex subunit 2","CPX-979","O95347","Q15003","cnd2_human","smc2_human"
"579",13207,13203,"cndg2_human","cndh2_human","Condensin-2 complex subunit G2","Condensin-2 complex subunit H2","CPX-985","Q86XI2","Q6IBW4","cndh2_human","cndg2_human"
"580",13209,13205,"cndd3_human","cndh2_human","Condensin-2 complex subunit D3","Condensin-2 complex subunit H2","CPX-985","P42695","Q6IBW4","cndh2_human","cndd3_human"
"581",13212,13204,"smc4_human","cndh2_human","Structural maintenance of chromosomes protein 4","Condensin-2 complex subunit H2","CPX-985","Q9NTJ3","Q6IBW4","cndh2_human","smc4_human"
"582",13214,13211,"smc2_human","smc4_human","Structural maintenance of chromosomes protein 2","Structural maintenance of chromosomes protein 4","CPX-985","O95347","Q9NTJ3","smc4_human","smc2_human"
"583",13215,13202,"smc2_human","cndh2_human","Structural maintenance of chromosomes protein 2","Condensin-2 complex subunit H2","CPX-985","O95347","Q6IBW4","cndh2_human","smc2_human"
"584",16309,16300,"csn5_human","zinc(2+)","COP9 signalosome complex subunit 5","zinc(2+)","CPX-1870","Q92905",NA,"zinc(2+)","csn5_human"
"585",16325,16322,"csn5_human","zinc(2+)","COP9 signalosome complex subunit 5","zinc(2+)","CPX-1870","Q92905",NA,"zinc(2+)","csn5_human"
"586",15508,15500,"coq6_human","fad(3-)","Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial","FAD(3-)","CPX-3642","Q9Y2Z9",NA,"fad(3","coq6_human"
"587",15514,15505,"coq3_human","coq6_human","Ubiquinone biosynthesis O-methyltransferase, mitochondrial","Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial","CPX-3642","Q9NZJ6","Q9Y2Z9","coq6_human","coq3_human"
"588",15516,15512,"coq3_human","coq4_human","Ubiquinone biosynthesis O-methyltransferase, mitochondrial","Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial","CPX-3642","Q9NZJ6","Q9Y3A0","coq4_human","coq3_human"
"589",15519,15517,"coq5_human","coq3_human","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","Ubiquinone biosynthesis O-methyltransferase, mitochondrial","CPX-3642","Q5HYK3","Q9NZJ6","coq3_human","coq5_human"
"590",15520,15511,"coq5_human","coq4_human","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial","CPX-3642","Q5HYK3","Q9Y3A0","coq4_human","coq5_human"
"591",15521,15506,"coq5_human","coq6_human","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial","CPX-3642","Q5HYK3","Q9Y2Z9","coq6_human","coq5_human"
"592",15523,15502,"coq5_human","coq9_human","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","Ubiquinone biosynthesis protein COQ9, mitochondrial","CPX-3642","Q5HYK3","O75208","coq9_human","coq5_human"
"593",15525,15515,"coq7_human","coq3_human","5-demethoxyubiquinone hydroxylase, mitochondrial","Ubiquinone biosynthesis O-methyltransferase, mitochondrial","CPX-3642","Q99807","Q9NZJ6","coq3_human","coq7_human"
"594",15526,15522,"coq7_human","coq5_human","5-demethoxyubiquinone hydroxylase, mitochondrial","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","CPX-3642","Q99807","Q5HYK3","coq5_human","coq7_human"
"595",15527,15507,"coq7_human","coq6_human","5-demethoxyubiquinone hydroxylase, mitochondrial","Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial","CPX-3642","Q99807","Q9Y2Z9","coq6_human","coq7_human"
"596",15528,15503,"coq7_human","coq9_human","5-demethoxyubiquinone hydroxylase, mitochondrial","Ubiquinone biosynthesis protein COQ9, mitochondrial","CPX-3642","Q99807","O75208","coq9_human","coq7_human"
"597",15529,15510,"coq7_human","coq4_human","5-demethoxyubiquinone hydroxylase, mitochondrial","Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial","CPX-3642","Q99807","Q9Y3A0","coq4_human","coq7_human"
"598",15533,15531,"iron cation","coq7_human","iron cation","5-demethoxyubiquinone hydroxylase, mitochondrial","CPX-3642",NA,"Q99807","coq7_human","iron cation"
"599",15535,15530,"iron cation","coq7_human","iron cation","5-demethoxyubiquinone hydroxylase, mitochondrial","CPX-3642",NA,"Q99807","coq7_human","iron cation"
"600",9838,9834,"borea_human","ince_human","Borealin","Inner centromere protein","CPX-116","Q53HL2","Q9NQS7","ince_human","borea_human"
"601",9841,9839,"birc5_human","borea_human","Baculoviral IAP repeat-containing protein 5","Borealin","CPX-116","O15392","Q53HL2","borea_human","birc5_human"
"602",9842,9835,"birc5_human","ince_human","Baculoviral IAP repeat-containing protein 5","Inner centromere protein","CPX-116","O15392","Q9NQS7","ince_human","birc5_human"
"603",9845,9836,"aurkb_human","ince_human","Aurora kinase B","Inner centromere protein","CPX-116","Q96GD4","Q9NQS7","ince_human","aurkb_human"
"604",9847,9843,"zinc(2+)","birc5_human","zinc(2+)","Baculoviral IAP repeat-containing protein 5","CPX-116",NA,"O15392","birc5_human","zinc(2+)"
"605",9838,9834,"borea_human","ince_human","Borealin","Inner centromere protein","CPX-116","Q53HL2","Q9NQS7","ince_human","borea_human"
"606",9841,9839,"birc5_human","borea_human","Baculoviral IAP repeat-containing protein 5","Borealin","CPX-116","O15392","Q53HL2","borea_human","birc5_human"
"607",9842,9835,"birc5_human","ince_human","Baculoviral IAP repeat-containing protein 5","Inner centromere protein","CPX-116","O15392","Q9NQS7","ince_human","birc5_human"
"608",9845,9836,"aurkb_human","ince_human","Aurora kinase B","Inner centromere protein","CPX-116","Q96GD4","Q9NQS7","ince_human","aurkb_human"
"609",9847,9843,"zinc(2+)","birc5_human","zinc(2+)","Baculoviral IAP repeat-containing protein 5","CPX-116",NA,"O15392","birc5_human","zinc(2+)"
"610",18092,18090,"per1_human","cry1_human","Period circadian protein homolog 1","Cryptochrome-1","CPX-3209","O15534","Q16526","cry1_human","per1_human"
"611",18068,18066,"per2_human","cry1_human","Period circadian protein homolog 2","Cryptochrome-1","CPX-3209","O15055","Q16526","cry1_human","per2_human"
"612",18100,18098,"cry1_human","per3_human","Cryptochrome-1","Period circadian protein homolog 3","CPX-3209","Q16526","P56645","per3_human","cry1_human"
"613",18100,18098,"cry1_human","per3_human","Cryptochrome-1","Period circadian protein homolog 3","CPX-3209","Q16526","P56645","per3_human","cry1_human"
"614",18076,18074,"per2_human","cry2_human","Period circadian protein homolog 2","Cryptochrome-2","CPX-3210","O15055","Q49AN0","cry2_human","per2_human"
"615",18108,18106,"cry2_human","per3_human","Cryptochrome-2","Period circadian protein homolog 3","CPX-3210","Q49AN0","P56645","per3_human","cry2_human"
"616",16862,16860,"ten1l_human","stn1_human","CST complex subunit TEN1","CST complex subunit STN1","CPX-2129","Q86WV5","Q9H668","stn1_human","ten1l_human"
"617",16864,16859,"ctc1_human","stn1_human","CST complex subunit CTC1","CST complex subunit STN1","CPX-2129","Q2NKJ3","Q9H668","stn1_human","ctc1_human"
"618",10474,10472,"ctnb1_human","lef1_human","Catenin beta-1","Lymphoid enhancer-binding factor 1","CPX-316","P35222","Q9UJU2","lef1_human","ctnb1_human"
"619",11179,11175,"cul4a_human","ddb1_human","Cullin-4A","DNA damage-binding protein 1","CPX-477","Q13619","Q16531","ddb1_human","cul4a_human"
"620",11181,11178,"rbx1_human","cul4a_human","E3 ubiquitin-protein ligase RBX1","Cullin-4A","CPX-477","P62877","Q13619","cul4a_human","rbx1_human"
"621",11183,11176,"ddb2_human","ddb1_human","DNA damage-binding protein 2","DNA damage-binding protein 1","CPX-477","Q92466","Q16531","ddb1_human","ddb2_human"
"622",11988,11984,"cul4b_human","ddb1_human","Cullin-4B","DNA damage-binding protein 1","CPX-648","Q13620","Q16531","ddb1_human","cul4b_human"
"623",11990,11987,"rbx1_human","cul4b_human","E3 ubiquitin-protein ligase RBX1","Cullin-4B","CPX-648","P62877","Q13620","cul4b_human","rbx1_human"
"624",11992,11985,"ddb2_human","ddb1_human","DNA damage-binding protein 2","DNA damage-binding protein 1","CPX-648","Q92466","Q16531","ddb1_human","ddb2_human"
"625",16711,16709,"cdk2_human","ccna1_human","Cyclin-dependent kinase 2","Cyclin-A1","CPX-2005","P24941","P78396","ccna1_human","cdk2_human"
"626",16695,16693,"cdk1_human","ccna1_human","Cyclin-dependent kinase 1","Cyclin-A1","CPX-2003","P06493","P78396","ccna1_human","cdk1_human"
"627",16719,16717,"cdk2_human","ccna2_human","Cyclin-dependent kinase 2","Cyclin-A2","CPX-2006","P24941","P20248","ccna2_human","cdk2_human"
"628",16703,16701,"cdk1_human","ccna2_human","Cyclin-dependent kinase 1","Cyclin-A2","CPX-2004","P06493","P20248","ccna2_human","cdk1_human"
"629",16727,16725,"cdk1_human","ccnb1_human","Cyclin-dependent kinase 1","G2/mitotic-specific cyclin-B1","CPX-2007","P06493","P14635","ccnb1_human","cdk1_human"
"630",16735,16733,"ccnb2_human","cdk1_human","G2/mitotic-specific cyclin-B2","Cyclin-dependent kinase 1","CPX-2008","O95067","P06493","cdk1_human","ccnb2_human"
"631",16743,16741,"cdk2_human","ccnb3_human","Cyclin-dependent kinase 2","G2/mitotic-specific cyclin-B3","CPX-2009","P24941","Q8WWL7","ccnb3_human","cdk2_human"
"632",16751,16749,"cdk4_human","ccnd1_human","Cyclin-dependent kinase 4","G1/S-specific cyclin-D1","CPX-2010","P11802","P24385","ccnd1_human","cdk4_human"
"633",16751,16749,"cdk4_human","ccnd1_human","Cyclin-dependent kinase 4","G1/S-specific cyclin-D1","CPX-2010","P11802","P24385","ccnd1_human","cdk4_human"
"634",16759,16757,"ccnd2_human","cdk4_human","G1/S-specific cyclin-D2","Cyclin-dependent kinase 4","CPX-2011","P30279","P11802","cdk4_human","ccnd2_human"
"635",16767,16765,"cdk4_human","ccnd3_human","Cyclin-dependent kinase 4","G1/S-specific cyclin-D3","CPX-2012","P11802","P30281","ccnd3_human","cdk4_human"
"636",16767,16765,"cdk4_human","ccnd3_human","Cyclin-dependent kinase 4","G1/S-specific cyclin-D3","CPX-2012","P11802","P30281","ccnd3_human","cdk4_human"
"637",16787,16785,"cdk2_human","ccne1_human","Cyclin-dependent kinase 2","G1/S-specific cyclin-E1","CPX-2015","P24941","P24864","ccne1_human","cdk2_human"
"638",16795,16793,"cdk2_human","ccne2_human","Cyclin-dependent kinase 2","G1/S-specific cyclin-E2","CPX-2016","P24941","O96020","ccne2_human","cdk2_human"
"639",9759,9757,"dapk1_human","calm_human","Death-associated protein kinase 1","Calmodulin","CPX-102","P53355","P0DP23","calm_human","dapk1_human"
"640",10440,10438,"ddb1_human","ddb2_human","DNA damage-binding protein 1","DNA damage-binding protein 2","CPX-308","Q16531","Q92466","ddb2_human","ddb1_human"
"641",9797,9794,"axin1_human","apc_human","Axin-1","Adenomatous polyposis coli protein","CPX-109","O15169","P25054","apc_human","axin1_human"
"642",9798,9792,"axin1_human","kc1a_human","Axin-1","Casein kinase I isoform alpha","CPX-109","O15169","P48729","kc1a_human","axin1_human"
"643",9800,9796,"gsk3b_human","axin1_human","Glycogen synthase kinase-3 beta","Axin-1","CPX-109","P49841","O15169","axin1_human","gsk3b_human"
"644",9737,9734,"axin1_human","apcl_human","Axin-1","Adenomatous polyposis coli protein 2","CPX-99","O15169","O95996","apcl_human","axin1_human"
"645",9738,9732,"axin1_human","kc1a_human","Axin-1","Casein kinase I isoform alpha","CPX-99","O15169","P48729","kc1a_human","axin1_human"
"646",9740,9736,"gsk3b_human","axin1_human","Glycogen synthase kinase-3 beta","Axin-1","CPX-99","P49841","O15169","axin1_human","gsk3b_human"
"647",10925,10923,"axin2_human","gsk3b_human","Axin-2","Glycogen synthase kinase-3 beta","CPX-439","Q9Y2T1","P49841","gsk3b_human","axin2_human"
"648",10926,10921,"axin2_human","apc_human","Axin-2","Adenomatous polyposis coli protein","CPX-439","Q9Y2T1","P25054","apc_human","axin2_human"
"649",10927,10919,"axin2_human","kc1a_human","Axin-2","Casein kinase I isoform alpha","CPX-439","Q9Y2T1","P48729","kc1a_human","axin2_human"
"650",10939,10937,"axin2_human","gsk3b_human","Axin-2","Glycogen synthase kinase-3 beta","CPX-440","Q9Y2T1","P49841","gsk3b_human","axin2_human"
"651",10941,10935,"axin2_human","kc1a_human","Axin-2","Casein kinase I isoform alpha","CPX-440","Q9Y2T1","P48729","kc1a_human","axin2_human"
"652",10943,10940,"apcl_human","axin2_human","Adenomatous polyposis coli protein 2","Axin-2","CPX-440","O95996","Q9Y2T1","axin2_human","apcl_human"
"653",9782,9780,"axin1_human","gsk3a_human","Axin-1","Glycogen synthase kinase-3 alpha","CPX-107","O15169","P49840","gsk3a_human","axin1_human"
"654",9783,9778,"axin1_human","apc_human","Axin-1","Adenomatous polyposis coli protein","CPX-107","O15169","P25054","apc_human","axin1_human"
"655",9784,9776,"axin1_human","kc1a_human","Axin-1","Casein kinase I isoform alpha","CPX-107","O15169","P48729","kc1a_human","axin1_human"
"656",10971,10969,"axin1_human","gsk3a_human","Axin-1","Glycogen synthase kinase-3 alpha","CPX-442","O15169","P49840","gsk3a_human","axin1_human"
"657",10973,10967,"axin1_human","kc1a_human","Axin-1","Casein kinase I isoform alpha","CPX-442","O15169","P48729","kc1a_human","axin1_human"
"658",10975,10972,"apcl_human","axin1_human","Adenomatous polyposis coli protein 2","Axin-1","CPX-442","O95996","O15169","axin1_human","apcl_human"
"659",10955,10953,"axin2_human","gsk3a_human","Axin-2","Glycogen synthase kinase-3 alpha","CPX-441","Q9Y2T1","P49840","gsk3a_human","axin2_human"
"660",10957,10951,"axin2_human","kc1a_human","Axin-2","Casein kinase I isoform alpha","CPX-441","Q9Y2T1","P48729","kc1a_human","axin2_human"
"661",10959,10956,"apc_human","axin2_human","Adenomatous polyposis coli protein","Axin-2","CPX-441","P25054","Q9Y2T1","axin2_human","apc_human"
"662",10985,10983,"axin2_human","apcl_human","Axin-2","Adenomatous polyposis coli protein 2","CPX-443","Q9Y2T1","O95996","apcl_human","axin2_human"
"663",10989,10987,"kc1a_human","axin2_human","Casein kinase I isoform alpha","Axin-2","CPX-443","P48729","Q9Y2T1","axin2_human","kc1a_human"
"664",10991,10986,"gsk3a_human","axin2_human","Glycogen synthase kinase-3 alpha","Axin-2","CPX-443","P49840","Q9Y2T1","axin2_human","gsk3a_human"
"665",17840,17838,"dgcr8_human","rnc_human","Microprocessor complex subunit DGCR8","Ribonuclease 3","CPX-3080","Q8WYQ5","Q9NRR4","rnc_human","dgcr8_human"
"666",17843,17841,"heme","dgcr8_human","heme","Microprocessor complex subunit DGCR8","CPX-3080",NA,"Q8WYQ5","dgcr8_human","heme"
"667",16831,16829,"dpod2_human","dpod3_human","DNA polymerase delta subunit 2","DNA polymerase delta subunit 3","CPX-2097","P49005","Q15054","dpod3_human","dpod2_human"
"668",16831,16829,"dpod2_human","dpod3_human","DNA polymerase delta subunit 2","DNA polymerase delta subunit 3","CPX-2097","P49005","Q15054","dpod3_human","dpod2_human"
"669",16831,16829,"dpod2_human","dpod3_human","DNA polymerase delta subunit 2","DNA polymerase delta subunit 3","CPX-2097","P49005","Q15054","dpod3_human","dpod2_human"
"670",10766,10762,"odpb_human","thiamine(1+) diphosphate(3-)","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial","thiamine(1+) diphosphate(3-)","CPX-376","P11177",NA,"thiamine(1+) diphosphate(3","odpb_human"
"671",10768,10765,"odpa_human","odpb_human","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial","CPX-376","P08559","P11177","odpb_human","odpa_human"
"672",10771,10769,"thiamine(1+) diphosphate(3-)","odpa_human","thiamine(1+) diphosphate(3-)","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial","CPX-376",NA,"P08559","odpa_human","thiamine(1+) diphosphate(3"
"673",16531,16529,"tfdp1_human","e2f1_human","Transcription factor Dp-1","Transcription factor E2F1","CPX-1971","Q14186","Q01094","e2f1_human","tfdp1_human"
"674",16539,16537,"e2f2_human","tfdp1_human","Transcription factor E2F2","Transcription factor Dp-1","CPX-1971","Q14209","Q14186","tfdp1_human","e2f2_human"
"675",16478,16475,"casc3_human","if4a3_human","Protein CASC3","Eukaryotic initiation factor 4A-III","CPX-1941","O15234","P38919","if4a3_human","casc3_human"
"676",16482,16480,"mgn_human","rbm8a_human","Protein mago nashi homolog","RNA-binding protein 8A","CPX-1941","P61326","Q9Y5S9","rbm8a_human","mgn_human"
"677",16483,16476,"mgn_human","if4a3_human","Protein mago nashi homolog","Eukaryotic initiation factor 4A-III","CPX-1941","P61326","P38919","if4a3_human","mgn_human"
"678",12099,12096,"casc3_human","if4a3_human","Protein CASC3","Eukaryotic initiation factor 4A-III","CPX-1941","O15234","P38919","if4a3_human","casc3_human"
"679",12103,12101,"mgn2_human","rbm8a_human","Protein mago nashi homolog 2","RNA-binding protein 8A","CPX-1941","Q96A72","Q9Y5S9","rbm8a_human","mgn2_human"
"680",12104,12097,"mgn2_human","if4a3_human","Protein mago nashi homolog 2","Eukaryotic initiation factor 4A-III","CPX-1941","Q96A72","P38919","if4a3_human","mgn2_human"
"681",12099,12096,"casc3_human","if4a3_human","Protein CASC3","Eukaryotic initiation factor 4A-III","CPX-1941","O15234","P38919","if4a3_human","casc3_human"
"682",12103,12101,"mgn2_human","rbm8a_human","Protein mago nashi homolog 2","RNA-binding protein 8A","CPX-1941","Q96A72","Q9Y5S9","rbm8a_human","mgn2_human"
"683",12104,12097,"mgn2_human","if4a3_human","Protein mago nashi homolog 2","Eukaryotic initiation factor 4A-III","CPX-1941","Q96A72","P38919","if4a3_human","mgn2_human"
"684",11358,11355,"eme1_human","mus81_human","Crossover junction endonuclease EME1","Crossover junction endonuclease MUS81","CPX-511","Q96AY2","Q96NY9","mus81_human","eme1_human"
"685",11360,11356,"magnesium(2+)","mus81_human","Magnesium(2+)","Crossover junction endonuclease MUS81","CPX-511",NA,"Q96NY9","mus81_human","magnesium(2+)"
"686",11665,11662,"mus81_human","eme2_human","Crossover junction endonuclease MUS81","Probable crossover junction endonuclease EME2","CPX-511","Q96NY9","A4GXA9","eme2_human","mus81_human"
"687",11668,11666,"magnesium(2+)","mus81_human","Magnesium(2+)","Crossover junction endonuclease MUS81","CPX-511",NA,"Q96NY9","mus81_human","magnesium(2+)"
"688",10884,10882,"emil1_human","emil1_human","EMILIN-1","EMILIN-1","CPX-421","Q9Y6C2","Q9Y6C2","emil1_human","emil1_human"
"689",10886,10882,"emil1_human","emil1_human","EMILIN-1","EMILIN-1","CPX-421","Q9Y6C2","Q9Y6C2","emil1_human","emil1_human"
"690",10911,10909,"emil2_human","emil2_human","EMILIN-2","EMILIN-2","CPX-436","Q9BXX0","Q9BXX0","emil2_human","emil2_human"
"691",11191,11189,"xpf_human","p07992-1","DNA repair endonuclease XPF","DNA excision repair protein ERCC-1","CPX-478","Q92889","p07992","p07992","xpf_human"
"692",17258,17254,"erf3a_human","gtp","Eukaryotic peptide chain release factor GTP-binding subunit ERF3A","guanosine triphosphate - GTP","CPX-2721","P15170",NA,"gtp","erf3a_human"
"693",17259,17256,"erf3a_human","erf1_human","Eukaryotic peptide chain release factor GTP-binding subunit ERF3A","Eukaryotic peptide chain release factor subunit 1","CPX-2721","P15170","P62495","erf1_human","erf3a_human"
"694",14292,14290,"snf5_human","smrc1_human","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","SWI/SNF complex subunit SMARCC1","CPX-1195","Q12824","Q92922","smrc1_human","snf5_human"
"695",14294,14281,"smca4_human","actb_human","Transcription activator BRG1","Actin, cytoplasmic 1","CPX-1195","P51532","P60709","actb_human","smca4_human"
"696",14295,14277,"smca4_human","ari1a_human","Transcription activator BRG1","AT-rich interactive domain-containing protein 1A","CPX-1195","P51532","O14497","ari1a_human","smca4_human"
"697",14296,14283,"smca4_human","acl6a_human","Transcription activator BRG1","Actin-like protein 6A","CPX-1195","P51532","O96019","acl6a_human","smca4_human"
"698",10513,10514,"chmp3_human","chmp3_human","Charged multivesicular body protein 3","Charged multivesicular body protein 3","CPX-329","Q9Y3E7","Q9Y3E7","chmp3_human","chmp3_human"
"699",10519,10520,"chm1b_human","chm1b_human","Charged multivesicular body protein 1b","Charged multivesicular body protein 1b","CPX-329","Q7LBR1","Q7LBR1","chm1b_human","chm1b_human"
"700",10531,10532,"chmp5_human","chmp5_human","Charged multivesicular body protein 5","Charged multivesicular body protein 5","CPX-329","Q9NZZ3","Q9NZZ3","chmp5_human","chmp5_human"
"701",10535,10521,"chmp5_human","chm1b_human","Charged multivesicular body protein 5","Charged multivesicular body protein 1b","CPX-329","Q9NZZ3","Q7LBR1","chm1b_human","chmp5_human"
"702",10537,10526,"chm4c_human","chmp7_human","Charged multivesicular body protein 4c","Charged multivesicular body protein 7","CPX-329","Q96CF2","Q8WUX9","chmp7_human","chm4c_human"
"703",10540,10527,"chm4a_human","chmp7_human","Charged multivesicular body protein 4a","Charged multivesicular body protein 7","CPX-329","Q9BY43","Q8WUX9","chmp7_human","chm4a_human"
"704",10541,10534,"chm4a_human","chmp5_human","Charged multivesicular body protein 4a","Charged multivesicular body protein 5","CPX-329","Q9BY43","Q9NZZ3","chmp5_human","chm4a_human"
"705",10543,10544,"chm4a_human","chm4a_human","Charged multivesicular body protein 4a","Charged multivesicular body protein 4a","CPX-329","Q9BY43","Q9BY43","chm4a_human","chm4a_human"
"706",10547,10515,"chm2b_human","chmp3_human","Charged multivesicular body protein 2b","Charged multivesicular body protein 3","CPX-329","Q9UQN3","Q9Y3E7","chmp3_human","chm2b_human"
"707",10548,10549,"chm2b_human","chm2b_human","Charged multivesicular body protein 2b","Charged multivesicular body protein 2b","CPX-329","Q9UQN3","Q9UQN3","chm2b_human","chm2b_human"
"708",10551,10523,"chm1a_human","chm1b_human","Charged multivesicular body protein 1a","Charged multivesicular body protein 1b","CPX-329","Q9HD42","Q7LBR1","chm1b_human","chm1a_human"
"709",10552,10553,"chm1a_human","chm1a_human","Charged multivesicular body protein 1a","Charged multivesicular body protein 1a","CPX-329","Q9HD42","Q9HD42","chm1a_human","chm1a_human"
"710",10556,10516,"chm2a_human","chmp3_human","Charged multivesicular body protein 2a","Charged multivesicular body protein 3","CPX-329","O43633","Q9Y3E7","chmp3_human","chm2a_human"
"711",10557,10558,"chm2a_human","chm2a_human","Charged multivesicular body protein 2a","Charged multivesicular body protein 2a","CPX-329","O43633","O43633","chm2a_human","chm2a_human"
"712",10560,10546,"chm4b_human","chm2b_human","Charged multivesicular body protein 4b","Charged multivesicular body protein 2b","CPX-329","Q9H444","Q9UQN3","chm2b_human","chm4b_human"
"713",10561,10517,"chm4b_human","chmp3_human","Charged multivesicular body protein 4b","Charged multivesicular body protein 3","CPX-329","Q9H444","Q9Y3E7","chmp3_human","chm4b_human"
"714",10562,10538,"chm4b_human","chm4c_human","Charged multivesicular body protein 4b","Charged multivesicular body protein 4c","CPX-329","Q9H444","Q96CF2","chm4c_human","chm4b_human"
"715",10563,10564,"chm4b_human","chm4b_human","Charged multivesicular body protein 4b","Charged multivesicular body protein 4b","CPX-329","Q9H444","Q9H444","chm4b_human","chm4b_human"
"716",10565,10555,"chm4b_human","chm2a_human","Charged multivesicular body protein 4b","Charged multivesicular body protein 2a","CPX-329","Q9H444","O43633","chm2a_human","chm4b_human"
"717",10566,10525,"chm4b_human","chmp7_human","Charged multivesicular body protein 4b","Charged multivesicular body protein 7","CPX-329","Q9H444","Q8WUX9","chmp7_human","chm4b_human"
"718",10567,10529,"chm4b_human","chmp6_human","Charged multivesicular body protein 4b","Charged multivesicular body protein 6","CPX-329","Q9H444","Q96FZ7","chmp6_human","chm4b_human"
"719",10568,10533,"chm4b_human","chmp5_human","Charged multivesicular body protein 4b","Charged multivesicular body protein 5","CPX-329","Q9H444","Q9NZZ3","chmp5_human","chm4b_human"
"720",10569,10542,"chm4b_human","chm4a_human","Charged multivesicular body protein 4b","Charged multivesicular body protein 4a","CPX-329","Q9H444","Q9BY43","chm4a_human","chm4b_human"
"721",10570,10522,"chm4b_human","chm1b_human","Charged multivesicular body protein 4b","Charged multivesicular body protein 1b","CPX-329","Q9H444","Q7LBR1","chm1b_human","chm4b_human"
"722",17273,17267,"etfb_human","fad(3-)","Electron transfer flavoprotein subunit beta","FAD(3-)","CPX-2731","P38117",NA,"fad(3","etfb_human"
"723",17274,17270,"etfb_human","amp(2-)","Electron transfer flavoprotein subunit beta","AMP(2-)","CPX-2731","P38117",NA,"amp(2","etfb_human"
"724",17276,17272,"etfa_human","etfb_human","Electron transfer flavoprotein subunit alpha, mitochondrial","Electron transfer flavoprotein subunit beta","CPX-2731","P13804","P38117","etfb_human","etfa_human"
"725",17277,17268,"etfa_human","fad(3-)","Electron transfer flavoprotein subunit alpha, mitochondrial","FAD(3-)","CPX-2731","P13804",NA,"fad(3","etfa_human"
"726",11750,11745,"magnesium(2+)","di3l1_human","Magnesium(2+)","DIS3-like exonuclease 1","CPX-592",NA,"Q8TF46","di3l1_human","magnesium(2+)"
